"ASSOCIATION_TYPE"	"PMID"	"NUM_SENTENCE"	"ENTITY1_TEXT"	"ENTITY1_INI"	"ENTITY1_END"	"ENTITY1_TYPE"	"ENTITY2_TEXT"	"ENTITY2_INI"	"ENTITY2_END"	"ENTITY2_TYPE"	"SENTENCE"
"PA"	17938326	0	"ABCG2"	71	76	"Genes & Molecular Sequences"	"doxorubicin"	43	54	"Chemicals & Drugs"	"Gefitinib inhibition of drug resistance to doxorubicin by inactivating ABCG2 in thyroid cancer cell lines."
"PA"	17938326	5	"EGFR"	16	20	"Genes & Molecular Sequences"	"gefitinib"	31	40	"Chemicals & Drugs"	"Inactivation of EGFR kinase by gefitinib was analyzed by Western blot analysis and immunofluorescence."
"PA"	17938326	0	"ABCG2"	71	76	"Genes & Molecular Sequences"	"Gefitinib"	0	9	"Chemicals & Drugs"	"Gefitinib inhibition of drug resistance to doxorubicin by inactivating ABCG2 in thyroid cancer cell lines."
"PA"	17938326	2	"ABCG2 drug transporter"	161	183	"Genes & Molecular Sequences"	"doxorubicin"	140	151	"Chemicals & Drugs"	"Extrusion assays using flow cytometry analysis were used to determine the ability of thyroid cancer cells to extrude the chemotherapy drug, doxorubicin, via the ABCG2 drug transporter in the presence or absence of gefitinib."
"PA"	17938326	12	"EGFR"	20	24	"Genes & Molecular Sequences"	"gefitinib"	35	44	"Chemicals & Drugs"	"Inactivation of the EGFR kinase by gefitinib potentiates the cytotoxic effect of doxorubicin in thyroid cancer, most likely by decreasing the ability of the cell to extrude doxorubicin."
"PA"	17938326	8	"ABCG2 drug transporter"	80	102	"Genes & Molecular Sequences"	"doxorubicin"	173	184	"Chemicals & Drugs"	"Inhibition of EGFR kinase activity by gefitinib causes the translocation of the ABCG2 drug transporter away from the plasma membrane, resulting in a concomitant decrease in doxorubicin extrusion in thyroid cancer cell lines."
"PA"	17938326	6	"ABCG2"	128	133	"Genes & Molecular Sequences"	"doxorubicin"	172	183	"Chemicals & Drugs"	"A terminal deoxynucleotidyl transferase-mediated deoxyuridine triphosphate nick-end labeling assay was performed to demonstrate ABCG2-mediated apoptosis in the presence of doxorubicin."
"PA"	17938326	9	"ABCG2"	126	131	"Genes & Molecular Sequences"	"doxorubicin"	93	104	"Chemicals & Drugs"	"Both ARO and WRO demonstrated differential ABCG2 expression, whereas both were sensitized to doxorubicin-induced apoptosis on ABCG2 knockdown with short interfering RNA."
"PA"	17938326	12	"EGFR"	20	24	"Genes & Molecular Sequences"	"doxorubicin"	173	184	"Chemicals & Drugs"	"Inactivation of the EGFR kinase by gefitinib potentiates the cytotoxic effect of doxorubicin in thyroid cancer, most likely by decreasing the ability of the cell to extrude doxorubicin."
"PA"	17938326	8	"EGFR"	14	18	"Genes & Molecular Sequences"	"doxorubicin"	173	184	"Chemicals & Drugs"	"Inhibition of EGFR kinase activity by gefitinib causes the translocation of the ABCG2 drug transporter away from the plasma membrane, resulting in a concomitant decrease in doxorubicin extrusion in thyroid cancer cell lines."
"PA"	17938326	8	"ABCG2 drug transporter"	80	102	"Genes & Molecular Sequences"	"gefitinib"	38	47	"Chemicals & Drugs"	"Inhibition of EGFR kinase activity by gefitinib causes the translocation of the ABCG2 drug transporter away from the plasma membrane, resulting in a concomitant decrease in doxorubicin extrusion in thyroid cancer cell lines."
"SA"	17938326	13	"ABCG2"	18	23	"Genes & Molecular Sequences"	"doxorubicin"	67	78	"Chemicals & Drugs"	"The expression of ABCG2 may explain in part the ineffectiveness of doxorubicin as a single modality treatment for anaplastic thyroid cancer or for treatment of metastatic follicular thyroid cancer."
"PA"	17938326	8	"EGFR"	14	18	"Genes & Molecular Sequences"	"gefitinib"	38	47	"Chemicals & Drugs"	"Inhibition of EGFR kinase activity by gefitinib causes the translocation of the ABCG2 drug transporter away from the plasma membrane, resulting in a concomitant decrease in doxorubicin extrusion in thyroid cancer cell lines."
"PA"	17395790	3	"oxytocin"	151	159	"Genes & Molecular Sequences"	"GSK221149A"	0	10	"Chemicals & Drugs"	"GSK221149A had similar affinity (K(i) = 4.1 nM) and selectivity for native oxytocin receptors from rat and produced a functional, competitive block of oxytocin-induced contractions in isolated rat myometrial strips with a pA(2) value of 8.18."
"PA"	17395790	5	"oxytocin"	72	80	"Genes & Molecular Sequences"	"GSK221149A"	23	33	"Chemicals & Drugs"	"Oral administration of GSK221149A (5 mg/kg) was effective in inhibiting oxytocin-induced uterine contractions after single and multiple (4-day) dosing."
