"ASSOCIATION_TYPE"	"PMID"	"NUM_SENTENCE"	"ENTITY1_TEXT"	"ENTITY1_INI"	"ENTITY1_END"	"ENTITY1_TYPE"	"ENTITY2_TEXT"	"ENTITY2_INI"	"ENTITY2_END"	"ENTITY2_TYPE"	"SENTENCE"
"PA"	17897305	8	"venous thrombosis"	53	70	"Diseases & Disorders"	"oral contraceptives"	106	125	"Chemicals & Drugs"	"Body height, weight and obesity increase the risk of venous thrombosis, especially obesity in women using oral contraceptives."
"FA"	18042885	0	"Cardiovascular thromboembolic adverse effects"	0	45	"Diseases & Disorders"	"cyclooxygenase"	62	76	"Chemicals & Drugs"	"Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs."
"FA"	18042885	0	"Cardiovascular thromboembolic adverse effects"	0	45	"Diseases & Disorders"	"nonselective antiinflammatory drugs"	104	139	"Chemicals & Drugs"	"Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs."
"FA"	18037672	8	"motion sickness"	180	195	"Diseases & Disorders"	"alfentanil"	58	68	"Chemicals & Drugs"	"The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness."
"FA"	18037672	8	"motion sickness"	180	195	"Diseases & Disorders"	"propofol"	70	78	"Chemicals & Drugs"	"The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness."
"PA"	17237684	13	"dry eye"	187	194	"Diseases & Disorders"	"botulinum toxin"	41	56	"Chemicals & Drugs"	"However, decreased tear production after botulinum toxin injection for crow's feet is a possible complication and patients should be advised of the small but definite risk of a temporary dry eye."
"PA"	17940253	1	"neurological disorders"	61	83	"Diseases & Disorders"	"Botulinum toxins"	0	16	"Chemicals & Drugs"	"Botulinum toxins are potent neurotoxins used in a variety of neurological disorders."
"PA"	17940253	3	"spasticity"	97	107	"Diseases & Disorders"	"botulinum toxin type B"	113	135	"Chemicals & Drugs"	"We describe the case of a 10-year-old boy who developed systemic weakness following treatment of spasticity with botulinum toxin type B."
"PA"	17940253	3	"systemic weakness"	56	73	"Diseases & Disorders"	"botulinum toxin type B"	113	135	"Chemicals & Drugs"	"We describe the case of a 10-year-old boy who developed systemic weakness following treatment of spasticity with botulinum toxin type B."
"FA"	17274718	2	"gingival overgrowth"	158	177	"Diseases & Disorders"	"CsA"	145	148	"Chemicals & Drugs"	"Gingival samples were collected from eight normal healthy individuals, eight patients with periodontitis, and eight patients with cyclosporin A (CsA)-induced gingival overgrowth."
"FA"	17274718	6	"periodontitis"	128	141	"Diseases & Disorders"	"CsA"	63	66	"Chemicals & Drugs"	"ET-1 mRNA expression was significantly higher in patients with CsA-induced gingival overgrowth (P <0.001) than in patients with periodontitis and the controls."
"PA"	17274718	6	"gingival overgrowth"	75	94	"Diseases & Disorders"	"CsA"	63	66	"Chemicals & Drugs"	"ET-1 mRNA expression was significantly higher in patients with CsA-induced gingival overgrowth (P <0.001) than in patients with periodontitis and the controls."
